01bb2d5f5309a0d9	SEMANTIC	-	runtime parse-rejection behavior of zod, not derivable from the shown unit's bytes
02037698e06bfe9e	SEMANTIC	-	depends on runtime issue-count outcome of parse, not the unit AST
024e7393bfe7f3e9	NEW_SHAPE	unasserted-parse-call	a parse call not wrapped in any expect/assertion is an AST-checkable test-hygiene shape
037ae8169c08405e	SEMANTIC	-	runtime prototype-pollution behavior, needs execution not unit bytes
03c26fae8b173c65	NEW_SHAPE	no-assertion-in-test	bare discarded expression plus commented-out assertions is a mechanical vacuous-test shape
0461d8eba1c80786	SEMANTIC	-	runtime error-propagation behavior of safeParse, not decidable from the unit
080094bbe3e06c39	SEMANTIC	-	runtime accept/throw behavior plus permissiveness interpretation
088fec7ed5fbf8d9	NEW_SHAPE	identifier-value-in-branch	which identifier is pushed inside a CLI-flag branch is an AST value check
0e9813850389681d	SEMANTIC	-	runtime literal/Symbol parse behavior, not from unit bytes
106e494a80beed12	NEW_SHAPE	no-assertion-in-test	absence of any expect/toEqual call in the test body is AST-checkable
1c744c42d1ef928b	SEMANTIC	-	runtime flatten() routing behavior, not the unit AST
20f9e7d87893d455	NEW_SHAPE	regex-pattern-feature	presence of lookahead+backreference in a regex literal is a byte/pattern check
24f0a8c68ff3534e	SEMANTIC	-	runtime multi-issue continuation behavior of parse
25805ca71bdacb04	NEW_SHAPE	conditional-type-branches	enumerating which types a conditional type recurses into is an AST structure check
292f54c0d35e2bab	SEMANTIC	-	interpretive claim about message wording differing across issue types
2a4692c770e96905	NEW_SHAPE	enumerate-test-cases	which valid-parse benchmark cases exist for which variants is AST-enumerable
2bdfc3609b75d5cb	SEMANTIC	-	runtime format() output shape, not the unit bytes
371eadd603578ea8	NEW_SHAPE	type-alias-shape	whether Scalars is defined as Primitive|Primitive[] is a type-def AST check
38e19ff733727785	SEMANTIC	-	runtime inclusive-boundary parse behavior
3afd0e26975df934	SEMANTIC	-	runtime overwrite behavior of repeated min/max
3dd3493eef7aede3	SEMANTIC	-	runtime sync-parse-throws-on-async-refine behavior
3eea00a75e7f43d3	SEMANTIC	-	TS type resolution to never, interpretive/type-behavioral
44397ce3ebe38a78	SEMANTIC	-	runtime independence from deleted globals, needs execution
44740d769b445e7f	SEMANTIC	-	runtime thenable duck-typing acceptance behavior
4b8582ac67a92702	NEW_SHAPE	empty-catch-block	try/catch with an empty catch block wrapping a call is an AST shape
4ec6ad60ccea9a88	SEMANTIC	-	type-signature vs runtime-freezing mismatch, interpretive
